x,y
253.2639055,385.5156622
826.5454596,792.368995
626.4065239,736.6027055
241.6761545,179.8024419
283.5438041,495.3713343
221.4492321,395.1009193
796.5571155,701.281586
266.2465701,522.4324353
540.3320601,753.6418563
800.1200447,194.4033555
606.6619952,631.5531856
544.632441,754.2684336
299.2765029,489.4493508
870.3565,265.6227154
180.0039594,56.98113892
846.8290859,805.2691028
282.5163225,388.5571274
248.2644287,86.5735022
645.1507873,715.4248609
197.65689,429.8993496
842.6741765,807.4229532
186.8284622,176.9759007
279.9022787,488.2510916
894.2102549,821.2223974
741.1668988,310.3515728
890.9253137,702.809124
609.6521919,785.9251496
226.0503223,484.7850551
544.4172789,671.1586774
795.9727906,226.5099047
910.595505,699.7056915
800.2200688,242.6538021
251.6355816,69.25364077
281.2900751,446.2809296
519.0571022,758.4422239
774.3275515,233.8321827
924.1165033,740.6718722
894.2730422,757.4845056
837.4908383,222.5555164
779.5979278,227.5651864
190.9622185,411.195637
642.4518878,815.8574653
931.0045599,810.0670727
208.0225875,483.6718621
944.0660377,790.5931174
784.732885,332.6626417
617.2768688,723.8343142
191.8884304,29.63151661
225.3198297,408.1941714
845.9706095,206.7991739
514.1600794,736.3685672
258.0082728,395.8393806
770.0347912,283.0927772
167.6685463,79.97985009
313.6071662,134.7122105
238.2379074,58.14834228
927.0756358,690.0996244
836.7005334,804.8396411
620.5747153,729.2243909
822.2281657,233.3451499
803.182501,803.6429854
914.9182485,801.1028282
832.1291946,326.9119331
290.0462868,450.7968694
255.0645773,165.4828003
309.2647766,425.1184902
264.8910473,67.9102025
575.6044748,645.9925653
754.6900697,264.1167583
186.6919455,150.577076
830.4354515,709.0839697
276.8815154,182.5810607
245.2213589,406.2793988
809.4550591,196.4421259
842.6544185,808.0613291
252.0380485,167.5751944
873.2228578,263.016671
274.9590894,39.83290209
571.6582717,642.4095394
510.1232568,803.6868308
559.3933453,646.139641
828.2788505,705.2330503
286.4231845,75.53057759
877.3972031,243.3073684
573.5885821,667.9351061
778.2662065,298.2466692
279.4678343,94.66841423
812.2879028,207.0453978
282.3685741,154.522945
189.2450914,465.2075164
213.6434497,462.6982744
213.4139436,374.939083
820.0223733,747.6070547
553.9032015,662.2829499
226.9079,490.3786929
233.2284726,48.65725321
260.232116,392.0663268
585.54822,653.7799746
180.5513251,424.3214196
930.9846903,714.4403885
212.6731555,434.2429351
894.256661,787.2161091
181.5884391,483.8727378
284.630569,102.2983531
518.9253959,773.0598727
782.8280045,316.8162231
912.7293483,800.3068649
215.4910978,65.6337314
307.3617811,453.8017237
261.5049196,430.1335401
864.4457451,266.3366803
890.3443784,772.498326
242.7980507,491.7751787
540.1755078,768.9978247
530.6224522,757.1216361
859.5515868,749.6736976
240.9398976,488.1314387
291.0730956,500.0994161
178.9128848,134.0349651
283.5894691,480.7490788
307.7324775,172.4053037
762.7116848,175.0022089
830.8165506,210.2738399
251.7337317,537.7468681
191.508705,60.62980656
879.2977563,701.8948961
218.0990172,505.4807828
193.7428855,453.2976852
768.1265016,254.043917
573.9710158,786.7406611
543.7084095,756.2034558
793.7348259,335.895212
573.8265416,744.194466
275.6047637,164.48772
880.4757065,305.6457443
540.7223949,677.7381406
320.7046544,401.2591324
845.8293674,806.7546338
880.0508125,327.2494667
930.5621978,747.3251758
581.8441689,645.6153327
216.8969258,498.7804025
868.0228958,251.0244362
879.2237965,703.258517
234.4538162,397.5041575
749.3009349,268.1600009
298.6041267,481.4076738
311.6193741,456.3311878
291.6451284,155.264889
906.577406,695.9198422
819.0315968,248.928507
904.0242398,775.4705331
499.3311787,667.4393908
272.7727721,461.3833762
912.3460107,749.8683929
891.9491609,819.0884797
905.383024,712.0797903
163.4719466,153.7733965
926.9767038,765.4096327
849.220146,798.150003
196.9951724,33.09539044
821.72045,190.4458141
819.8227363,223.1256658
231.8293558,124.8713195
509.2753784,679.0551037
827.7134205,694.7856321
244.1092013,65.64599746
865.3610457,698.5177198
774.0384727,285.4332679
843.0088488,699.6050797
201.0389741,403.3717328
964.4386233,739.4353946
157.2499064,437.5318543
860.8365607,700.7888729
552.5310664,642.1695298
220.9594104,392.2533344
875.386156,290.4410163
908.5285813,724.4106283
250.5143977,520.8815275
217.2946515,95.76221054
749.5221441,258.9558754
248.9019256,397.8182299
271.3098047,157.7946097
819.3136501,741.9625348
765.4722476,228.7758696
865.761967,249.877836
290.052745,500.1720833
256.954295,493.2918032
518.7287259,661.4330966
188.7033253,493.5457365
924.851717,761.2510755
